Name,Math,Science,English
Student_1,78,96,99
Student_2,91,74,48
Student_3,68,87,99
Student_4,54,58,55
Student_5,82,60,61
Student_6,47,94,82
Student_7,60,75,68
Student_8,78,63,49
Student_9,97,49,96
Student_10,58,79,78
Student_11,62,99,50
Student_12,50,43,66
Student_13,50,35,55
Student_14,63,42,92
Student_15,92,97,60
Student_16,75,45,77
Student_17,79,42,53
Student_18,63,69,50
Student_19,42,69,60
Student_20,61,67,73
Student_21,92,39,47
Student_22,41,75,64
Student_23,63,62,80
Student_24,83,41,63
Student_25,69,46,70
Student_26,77,68,47
Student_27,41,67,63
Student_28,99,82,64
Student_29,60,57,76
Student_30,72,96,51
Student_31,51,71,96
Student_32,97,78,85
Student_33,61,69,77
Student_34,83,99,84
Student_35,64,81,83
Student_36,88,37,62
Student_37,66,35,84
Student_38,98,39,45
Student_39,81,48,55
Student_40,67,61,72
Student_41,99,43,69
Student_42,55,49,94
Student_43,54,76,67
Student_44,86,85,75
Student_45,90,97,74
Student_46,83,86,86
Student_47,94,38,79
Student_48,91,57,51
Student_49,96,49,60
Student_50,42,77,70
Student_51,76,63,92
Student_52,90,70,96
Student_53,46,47,93
Student_54,60,66,46
Student_55,48,93,45
Student_56,78,62,92
Student_57,57,76,56
Student_58,43,79,49
Student_59,64,96,81
Student_60,99,91,76
Student_61,53,40,99
Student_62,89,62,53
Student_63,97,62,85
Student_64,48,78,79
Student_65,65,64,63
Student_66,92,96,92
Student_67,41,96,60
Student_68,59,35,47
Student_69,67,61,64
Student_70,86,96,68
Student_71,99,37,98
Student_72,46,61,77
Student_73,83,43,68
Student_74,47,96,96
Student_75,86,71,55
Student_76,74,85,93
Student_77,53,78,52
Student_78,56,58,80
Student_79,75,93,82
Student_80,89,66,84
Student_81,79,86,64
Student_82,43,96,79
Student_83,41,92,92
Student_84,45,86,69
Student_85,93,46,79
Student_86,81,73,69
Student_87,43,36,73
Student_88,93,37,62
Student_89,68,90,90
Student_90,57,93,62
Student_91,65,36,46
Student_92,83,36,98
Student_93,73,88,79
Student_94,49,35,60
Student_95,75,53,85
Student_96,53,36,80
Student_97,70,87,77
Student_98,87,78,48
Student_99,54,66,77
Student_100,47,66,58
